IZIFRVC,0,PPGUE,FSEFVBE,41845665,Bird Sanctuary,rainy,0.7724356,56.21809,2.4972644,North-West
XFTAUPLQ,1,PXLWCQX,VQZQWC,78580867,National Park,rainy,17.321102,5.5125427,12.89266,South-West
ZZOKLSVTE,2,AQQYDLI,YNSXS,16735139,Marine Reserve,snowy,43.397614,91.045265,14.718034,North-East
SMFSO,3,KXRLRNHB,LUSJA,61589647,Wildlife Sanctuary,snowy,33.661304,99.154335,31.297411,South
YQUEBMVKJ,4,QXEVAAQ,TPIYBY,74635292,Bio-Reserve,snowy,-1.8813796,96.6464,74.578064,West
PDBEBZMQ,5,JBYXLS,FRAGUI,32512370,Bio-Reserve,rainy,-6.846968,75.756096,15.819204,South
CBYVBWZWS,6,HNCSM,VBRZGDJCU,33274676,Marine Reserve,foggy,43.81228,85.70166,14.590637,East
SPCCP,7,JWGWNEA,AWTOFODX,91776582,National Park,windy,32.700058,84.630806,86.729355,West
EWTTI,8,WMGAPBRYH,SXVCVZ,47736502,Bird Sanctuary,snowy,2.414248,56.24304,97.62237,West
MADYJVUT,9,BYWEE,DYYQM,21978990,Bird Sanctuary,windy,47.88899,48.068413,67.85473,West
JZPXB,10,UJFJFT,TJDCV,18895055,Bio-Reserve,sunny,13.509009,61.62257,74.826065,West
SIQBP,11,HMZTXVHNM,ODKUZ,38716755,Bio-Reserve,sunny,19.359863,74.912094,27.675276,North-West
NPLLDXOA,12,IJRKRUG,EGQFBJ,9881147,Bird Sanctuary,cloudy,15.906406,25.060637,61.00168,East
HCWME,13,ZERAJKEZO,GUTNOIMH,65201673,Wildlife Sanctuary,windy,17.335203,36.366375,40.68451,South
TFLQJ,14,UCVOFU,VVPAS,54180452,Marine Reserve,rainy,-3.920674,82.43449,12.749929,North
CJCOGG,15,NTDQB,GQCGMGUA,25186079,Wildlife Sanctuary,windy,1.8696982,25.019157,21.450182,East
WYXHMKIJ,16,PYYPQ,YTXPPHKTS,42836607,Marine Reserve,foggy,1.9570252,2.9845953,16.736078,North-West
IGAUNQG,17,DUZDCG,IQMBVR,34863591,National Park,foggy,37.403484,75.37349,94.072495,West
PXRIHGB,18,PPTBZBT,UAGYYVGJ,25531614,Bio-Reserve,snowy,42.90708,16.54024,12.2939205,North-West
PVQNN,19,GBVANVN,ZKHOR,20466503,Bio-Reserve,windy,11.72328,17.110567,42.27167,South-West
ZXHDGWO,20,WQGVETWIU,UQOZGNFQJ,43597558,Bio-Reserve,rainy,37.085403,86.87468,59.11309,East
CKZRAYMCX,21,PXLJMBXM,VKTALHXGB,86376790,Marine Reserve,windy,-1.7936567,39.83683,44.415504,North-West
RHXOPFOWZ,22,VMFEO,ASHYQPAJ,51895996,Wildlife Sanctuary,sunny,38.548237,78.17523,4.309563,East
JITMKV,23,LTLIQLZVB,VMXJWWAC,95770674,Wildlife Sanctuary,rainy,25.749691,34.280422,13.797793,South-East
EPMCRV,24,JEBIDB,QKCEFYMVT,15977264,National Park,foggy,9.232888,84.608765,25.964851,South
DIPYVVOLE,25,RSIFBY,XBAIFXHUA,23666810,Bird Sanctuary,foggy,-7.0740123,1.4859602,48.311886,West
YTMCHR,26,SGIHFG,KMWBERU,71559685,National Park,sunny,41.84339,67.55596,51.867207,North-West
KBKMVNK,27,OCCVO,QZAGUHGD,92589385,Marine Reserve,rainy,33.24726,74.059616,98.342735,South-East
YILCSI,28,LAWLFV,BUZJAOJ,69257443,Bio-Reserve,foggy,3.327162,63.096664,29.425955,North-West
QMQTAYS,29,EMXNUYY,LJEZMZ,81269648,Bird Sanctuary,foggy,34.861084,48.007828,14.361857,East
XOSWYGF,30,GEFXNTGE,YSIBB,41994692,Marine Reserve,windy,22.05787,17.511683,39.694057,South-West
NFHYW,31,BIIROIDPT,OZNMZSL,83020887,Wildlife Sanctuary,windy,4.6275597,77.98391,8.630116,West
LFREWIEQ,32,CDLUJC,TUWVOY,49137588,Bio-Reserve,rainy,33.446995,32.595367,74.84197,North-East
LMNJH,33,NBZOENCML,DBDNZV,2556692,Wildlife Sanctuary,foggy,16.24733,72.47609,99.66505,South-East
ZSDSAH,34,AQMEQD,XQKCUVXNK,34856039,Bio-Reserve,sunny,17.953651,89.89124,58.373524,South-West
MRJECJPO,35,KNFZDF,MDAJIR,53899113,Wildlife Sanctuary,rainy,38.697063,36.88106,63.05461,South
UWDTYRSJ,36,TCTUFY,UZXEQ,4878203,National Park,snowy,-4.935229,9.329728,28.20344,South-West
ZDFPYJGXG,37,NZUKD,LVEOEG,2884904,Wildlife Sanctuary,snowy,11.811764,38.928276,11.043822,North-East
BYIRDW,38,FBYYR,NJIGR,28800409,National Park,foggy,31.85438,3.6061819,88.157555,North-West
FCKRD,39,KRDYQHTNG,YTYMZE,49066551,National Park,rainy,17.399828,59.96686,59.21703,North-West
WMIPJTV,40,UIGZDCBAA,IXNTQFSF,39810892,National Park,rainy,17.40755,76.208725,54.72212,South-East
BLKKZZMSB,41,UQFPRZX,OKOKDJ,14400125,Bird Sanctuary,snowy,-6.3265853,8.177437,25.751373,South-West
FQTFMSGR,42,TMBCRSNNT,IPNCMAJP,27275156,Bird Sanctuary,sunny,39.738144,12.178487,74.74363,North-West
VPCQK,43,PAHUHGUPV,NFCBL,71872374,Marine Reserve,snowy,14.54586,23.88009,32.24604,North-West
JBUMCCUE,44,XKMGICMFX,UMTSRHH,6130225,Bio-Reserve,sunny,-0.022155292,51.59439,12.561109,West
ZMIFBHJ,45,RVNENJGQ,SXMFZT,66599295,Bird Sanctuary,foggy,1.355736,96.941246,7.899578,East
ZINCP,46,FAIJR,BNCLJKK,75893784,Bio-Reserve,snowy,17.620071,24.153505,30.912893,West
OPEUZWA,47,XTCPYGJKP,NXXIJD,76585572,Bird Sanctuary,snowy,43.603096,62.459854,20.955181,South
WGRNHN,48,GFTPRORIW,AMDEGEHU,40341081,National Park,cloudy,41.027763,30.249779,67.15621,South
VQCMA,49,YQZIIDO,PBWHNT,90738825,Wildlife Sanctuary,rainy,11.438422,12.577539,63.98175,East
QRFJL,50,PZETXZN,BZPLUUI,93120603,Bird Sanctuary,cloudy,20.45034,38.59209,7.1962323,North-East
ASEIEPL,51,EPSKPUCGU,HLUNG,90981624,Wildlife Sanctuary,foggy,18.521164,9.358134,20.275034,North-West
MDZCV,52,FQIWN,SMYYFS,71242975,Wildlife Sanctuary,sunny,-6.834197,98.27144,21.117224,South-East
DBCEHDL,53,ADXLRSKYK,RQILFU,37635152,Marine Reserve,foggy,12.813483,95.076706,6.7246485,South-West
ERZOQJX,54,SALAUNVS,QTZJFHIQ,19000929,National Park,rainy,1.1979685,50.09739,71.23706,North-East
XGLPZ,55,MMIIYM,BBTYR,26738843,Marine Reserve,cloudy,31.167807,10.210165,44.413338,North-East
GZHFTL,56,WECXIKFHB,GJIGLEF,31247515,National Park,foggy,-1.9374492,64.021614,11.891145,West
IFCHBLJ,57,QOZJAIM,GISAE,27417303,Bird Sanctuary,cloudy,28.425842,44.599197,41.158543,West
DUCYYAQ,58,XWYOJDHNK,VMTZJKX,75484636,Bird Sanctuary,cloudy,6.1740785,13.632308,64.47104,South
CCJSJTXO,59,ZUBAF,CKNOHMM,10264876,Wildlife Sanctuary,cloudy,14.166215,81.87532,34.366825,North-East
QHMAQZSR,60,XDOARNUGI,AYUTLSM,86812131,Marine Reserve,cloudy,37.25935,63.25732,99.01937,South-East
EWCCDT,61,KNAAGCGP,IYOCIODU,80716808,Bird Sanctuary,rainy,18.034485,54.57193,61.09823,North-West
PCDEDX,62,QETZTZHCV,JHBZNQ,88040404,Bio-Reserve,cloudy,24.266392,82.26535,96.22824,South-West
NGKBQGJX,63,EKUQKHRX,AKGVBQ,87803982,National Park,snowy,32.922737,63.71034,87.79772,South
QFCLK,64,VYKRTYM,MLFEVRYS,46862004,Wildlife Sanctuary,rainy,8.281429,84.34845,21.691826,East
LNQBM,65,DRXXGGCTX,GBHIBJQWS,56508329,National Park,sunny,4.7989006,71.35468,98.911255,South
HFUMVAB,66,MZOOZXAU,IMMIXRXUR,38386911,Wildlife Sanctuary,cloudy,13.409142,47.066578,96.440735,West
QXAZEGT,67,ADRSYNILS,VSATPBVCW,92324362,Wildlife Sanctuary,rainy,1.9275557,3.2308185,59.881966,North
GRMSV,68,IHWXP,WCGFBPFY,3109872,Bio-Reserve,windy,-1.2299595,69.14172,32.19022,South-West
LURKMCDE,69,MGPTTFVM,IEYFDTO,87924216,Bird Sanctuary,sunny,-5.6902003,58.042038,38.236504,East
VUJBZAKH,70,DVHTFQVWX,ZJVKFPS,20442794,Wildlife Sanctuary,rainy,7.9293585,83.99921,22.022024,North-West
ZOEGIPOM,71,IDSZP,ONXDFEWFM,96276170,Bio-Reserve,windy,-1.5726312,57.039295,17.523964,North-East
DPBIDOF,72,DLZWY,UBCXJK,84747370,Bio-Reserve,rainy,-1.0652431,75.31828,13.346327,West
PNPICZXA,73,XIOMORRL,PNKIR,77892183,Wildlife Sanctuary,snowy,44.64446,79.33647,10.020028,North
ATNHXF,74,AXTSL,ETJCMB,81487533,Bird Sanctuary,cloudy,49.267876,62.336395,26.922539,North-West
UYKKA,75,DTUKIGXXM,RUDHAWGPT,9651853,National Park,snowy,17.295002,83.26486,21.137623,East
STNPYPFB,76,ISUXCLFU,NKPAARSX,23049069,Bio-Reserve,windy,47.231133,30.052277,49.956383,South
HGSYGWMTR,77,LRUUBWO,KAZOV,43763520,Marine Reserve,cloudy,48.300484,36.324326,16.402842,North-East
RIUTKKN,78,EPBFV,CONRIJHAN,62881721,Marine Reserve,foggy,13.916592,0.70351785,48.982647,North-West
DQQTEWMW,79,KXZMLOYE,OVSMU,99456633,Marine Reserve,snowy,45.567154,85.30159,77.01467,North-East
IDFMGPK,80,LBOPPKZ,GXSCOHSS,89228488,Marine Reserve,rainy,21.349688,59.019875,57.871334,South
CVFHRHTL,81,SVDGFKSZ,AXLLEO,46632206,Bio-Reserve,windy,25.22341,69.93715,35.578663,North-East
BSIZHD,82,ZIYVL,LEPHE,60546475,Bird Sanctuary,rainy,38.27431,79.01318,9.310418,North-West
MXKDU,83,DKXSXSO,EUGSS,21723123,Marine Reserve,cloudy,25.346947,92.35581,71.74643,North-East
WZGXA,84,YPWUD,SHDRUDL,24804138,Wildlife Sanctuary,rainy,47.02629,77.19499,25.88363,North
IZCDF,85,ELBAUKKGX,KLKAYSA,86029126,National Park,foggy,8.497422,83.072975,68.168976,West
IDBNOXRAD,86,KZHJN,TZWSNYEC,16892545,Bird Sanctuary,rainy,25.860947,84.459435,68.630615,South-East
AMDMM,87,CGAEJY,INDMA,1941630,Wildlife Sanctuary,foggy,9.608824,84.76024,64.97219,North-West
DWVRD,88,TNAPV,JUZGW,78001153,National Park,sunny,-2.2331834,9.979922,64.517624,South-West
ZHBLHI,89,YEFCRCBCO,DRNTA,14022849,National Park,snowy,23.685818,30.559576,46.071777,South-West
KTQQDFNWL,90,QZBPKGGY,ABZSWU,76860549,National Park,cloudy,12.427415,4.524943,20.92761,West
ZKFUJ,91,JBBXBPHXG,NSGVKYVNP,81460731,Marine Reserve,rainy,0.24083549,37.849686,49.20278,North-East
RRHSPJA,92,OGONHH,AWJRPDXAZ,91953274,National Park,snowy,-1.878805,10.03985,59.355946,North-East
YOQXHR,93,AMLZNUB,NJJROLT,3756321,Bio-Reserve,rainy,46.5815,68.97643,66.212524,South
IKTLQIXCJ,94,MOURPUKMA,GCCBCLQTV,52775005,Bio-Reserve,foggy,-3.396959,83.97156,58.032543,North-East
VMUXC,95,MPTFU,YVELEZ,35646354,Bio-Reserve,cloudy,0.9879603,79.2358,3.7248514,South
YAVYVALR,96,FJLXRNR,PWZQJGQQH,79816164,Bird Sanctuary,windy,36.260376,57.574276,75.9526,North-East
CZCEPZIP,97,UJYVY,NWOJA,57985688,Wildlife Sanctuary,sunny,32.94846,77.89023,35.576523,East
PWJUE,98,XYIJAOB,VXEXZ,21064137,Bio-Reserve,rainy,10.453187,29.540747,38.71492,East
XSWXU,99,PLODPYLSV,PTAZL,31723992,Bird Sanctuary,foggy,22.71475,16.867931,92.90958,South-East
